disbursement_month,district_id,program_code,coverage_program,funding_source,payee_type,disbursement_count,paid_disbursements,pending_disbursements,failed_disbursements,total_disbursement_amount,avg_payment_cycle_days
2025-04-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,4,4,0,0,792.18,14.5
2025-04-01,D02,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,1,0,0,5828.22,10.0
2025-04-01,D02,SAP,Senior Access Plan,National Senior Fund,Provider Facility,7,7,0,0,1856.30,20.0
2025-04-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,1,1,0,0,131.85,26.0
2025-04-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,2,1,0,1,117.42,19.0
2025-04-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,3,3,0,0,358.18,10.3
2025-04-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,17,14,2,1,3179.75,15.4
2025-04-01,D03,ECP,Essential Care Plan,State Health Fund,Accredited Partner,2,1,1,0,666.16,20.0
2025-04-01,D03,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,1,1,0,0,78.87,14.0
2025-04-01,D03,ECP,Essential Care Plan,State Health Fund,Provider Facility,11,8,1,2,2588.77,17.7
2025-04-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,1,0,1,0,0.00,8.0
2025-04-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,11,9,1,1,13110.62,18.5
2025-04-01,D03,SAP,Senior Access Plan,National Senior Fund,Provider Facility,8,7,1,0,6338.33,19.5
2025-04-01,D03,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,5,5,0,0,787.29,16.6
2025-04-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,1,1,0,0,535.23,10.0
2025-04-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,1,1,0,0,110.88,17.0
2025-04-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,5,5,0,0,7969.09,20.8
2025-04-01,D04,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,1,1,0,0,178.18,25.0
2025-04-01,D04,ECP,Essential Care Plan,State Health Fund,Provider Facility,8,7,1,0,7785.27,13.2
2025-04-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,1,1,0,0,879.09,13.0
2025-04-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,3,3,0,0,1491.57,20.7
2025-04-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,5,5,0,0,801.11,17.0
2025-04-01,D04,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,1,0,0,159.02,23.0
2025-04-01,D04,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,1,1,0,0,181.55,4.0
2025-04-01,D04,SAP,Senior Access Plan,National Senior Fund,Provider Facility,3,3,0,0,980.10,16.7
2025-04-01,D04,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,2,2,0,0,229.94,14.0
2025-04-01,D04,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,1,1,0,0,106.45,23.0
2025-04-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,7,6,1,0,1998.73,20.3
2025-04-01,D05,ECP,Essential Care Plan,State Health Fund,Provider Facility,8,4,2,2,1608.95,19.9
2025-04-01,D05,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,1,1,0,0,99.50,29.0
2025-04-01,D05,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,1,0,0,80.00,14.0
2025-04-01,D05,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,1,1,0,0,142.97,7.0
2025-04-01,D05,SAP,Senior Access Plan,National Senior Fund,Provider Facility,4,2,2,0,373.76,17.8
2025-04-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,3,3,0,0,939.17,19.7
2025-05-01,D01,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,7,6,0,1,1660.59,11.0
2025-05-01,D01,ECP,Essential Care Plan,State Health Fund,Accredited Partner,2,2,0,0,210.18,19.0
2025-05-01,D01,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,3,2,1,0,6053.84,19.3
2025-05-01,D01,ECP,Essential Care Plan,State Health Fund,Provider Facility,8,7,0,1,1290.83,18.1
2025-05-01,D01,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,1,1,0,0,394.37,21.0
2025-05-01,D01,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,1,1,0,0,376.87,12.0
2025-05-01,D01,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,1,0,0,152.81,27.0
2025-05-01,D01,SAP,Senior Access Plan,National Senior Fund,Provider Facility,7,6,0,1,1341.48,10.7
2025-05-01,D01,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,2,2,0,0,1253.66,12.0
2025-05-01,D02,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,1,1,0,0,159.51,9.0
2025-05-01,D02,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,6,5,1,0,905.79,21.2
2025-05-01,D02,ECP,Essential Care Plan,State Health Fund,Accredited Partner,1,1,0,0,281.52,10.0
2025-05-01,D02,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,1,1,0,0,149.30,22.0
2025-05-01,D02,ECP,Essential Care Plan,State Health Fund,Provider Facility,12,12,0,0,4118.98,19.9
2025-05-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,2,0,0,708.86,13.5
2025-05-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,1,1,0,0,138.12,8.0
2025-05-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,12,12,0,0,10269.66,14.0
2025-05-01,D02,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,0,1,0,0.00,12.0
2025-05-01,D02,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,3,3,0,0,1253.87,17.0
2025-05-01,D02,SAP,Senior Access Plan,National Senior Fund,Provider Facility,3,2,1,0,5653.20,16.3
2025-05-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,4,3,1,0,426.42,21.5
2025-05-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,2,2,0,0,933.20,14.5
2025-05-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,10,9,1,0,7395.61,16.5
2025-05-01,D03,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,1,1,0,0,221.05,14.0
2025-05-01,D03,ECP,Essential Care Plan,State Health Fund,Provider Facility,16,14,2,0,8010.54,17.7
2025-05-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,1,0,1,673.18,27.5
2025-05-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,1,1,0,0,157.70,11.0
2025-05-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,18,13,5,0,3410.59,17.6
2025-05-01,D03,SAP,Senior Access Plan,National Senior Fund,Provider Facility,6,6,0,0,1390.61,21.2
2025-05-01,D03,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,5,4,1,0,5939.96,19.2
2025-05-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,8,6,1,1,1305.99,14.9
2025-05-01,D04,ECP,Essential Care Plan,State Health Fund,Accredited Partner,3,3,0,0,439.72,13.0
2025-05-01,D04,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,2,2,0,0,212.79,15.0
2025-05-01,D04,ECP,Essential Care Plan,State Health Fund,Provider Facility,10,9,1,0,6396.73,14.9
2025-05-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,8,7,1,0,1715.05,16.9
2025-05-01,D04,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,3,3,0,0,479.41,17.7
2025-05-01,D04,SAP,Senior Access Plan,National Senior Fund,Provider Facility,7,7,0,0,8385.81,17.0
2025-05-01,D04,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,1,1,0,0,156.08,5.0
2025-05-01,D04,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,2,2,0,0,367.52,12.5
2025-05-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,1,1,0,0,636.22,17.0
2025-05-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,5,3,0,2,1466.97,11.2
2025-05-01,D05,ECP,Essential Care Plan,State Health Fund,Accredited Partner,1,1,0,0,136.59,12.0
2025-05-01,D05,ECP,Essential Care Plan,State Health Fund,Provider Facility,10,8,2,0,18360.43,19.9
2025-05-01,D05,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,6,4,0,2,521.66,15.0
2025-05-01,D05,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,1,0,0,110.03,21.0
2025-05-01,D05,SAP,Senior Access Plan,National Senior Fund,Provider Facility,4,3,1,0,854.64,9.2
2025-05-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,1,1,0,0,7254.46,29.0
2025-05-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,1,0,0,126.53,12.0
2025-05-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,6,6,0,0,1521.81,15.2
2025-06-01,D01,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,2,1,1,0,688.59,19.5
2025-06-01,D01,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,1,1,0,0,7373.66,26.0
2025-06-01,D01,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,8,4,4,0,1451.31,14.9
2025-06-01,D01,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,2,0,2,0,0.00,25.5
2025-06-01,D01,ECP,Essential Care Plan,State Health Fund,Provider Facility,28,14,14,0,9016.65,19.0
2025-06-01,D01,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,1,1,0,121.37,27.5
2025-06-01,D01,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,7,6,0,1,1432.35,14.6
2025-06-01,D01,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,1,0,1,0,0.00,25.0
2025-06-01,D01,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,2,0,2,0,0.00,14.5
2025-06-01,D01,SAP,Senior Access Plan,National Senior Fund,Provider Facility,8,6,2,0,2726.08,14.2
2025-06-01,D01,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,0,1,0,0.00,13.0
2025-06-01,D01,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,4,2,2,0,299.21,19.8
2025-06-01,D02,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,1,1,0,0,198.36,21.0
2025-06-01,D02,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,1,1,0,0,426.33,27.0
2025-06-01,D02,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,10,5,5,0,1607.47,18.2
2025-06-01,D02,ECP,Essential Care Plan,State Health Fund,Accredited Partner,1,0,1,0,0.00,25.0
2025-06-01,D02,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,4,3,1,0,885.49,22.5
2025-06-01,D02,ECP,Essential Care Plan,State Health Fund,Provider Facility,13,8,5,0,2289.62,17.2
2025-06-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,1,1,0,281.11,21.5
2025-06-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,2,1,1,0,138.52,9.5
2025-06-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,10,6,4,0,5880.04,18.5
2025-06-01,D02,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,1,1,0,133.29,24.0
2025-06-01,D02,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,1,0,1,0,0.00,17.0
2025-06-01,D02,SAP,Senior Access Plan,National Senior Fund,Provider Facility,9,1,8,0,119.01,19.7
2025-06-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,1,1,0,0,123.79,15.0
2025-06-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,1,0,0,313.38,8.0
2025-06-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,5,4,1,0,1289.54,20.0
2025-06-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,5,3,2,0,7798.32,14.6
2025-06-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,3,3,0,0,668.66,17.7
2025-06-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,20,13,6,1,4818.69,17.4
2025-06-01,D03,ECP,Essential Care Plan,State Health Fund,Accredited Partner,3,2,1,0,1064.51,22.0
2025-06-01,D03,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,1,0,1,0,0.00,20.0
2025-06-01,D03,ECP,Essential Care Plan,State Health Fund,Provider Facility,19,10,9,0,2332.99,17.3
2025-06-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,1,1,0,175.29,7.0
2025-06-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,2,2,0,0,287.67,23.5
2025-06-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,16,10,5,1,3224.73,17.4
2025-06-01,D03,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,1,1,0,286.53,21.0
2025-06-01,D03,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,3,0,2,1,0.00,16.0
2025-06-01,D03,SAP,Senior Access Plan,National Senior Fund,Provider Facility,12,5,6,1,5429.15,18.2
2025-06-01,D03,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,1,0,0,111.15,8.0
2025-06-01,D03,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,12,8,4,0,1288.09,19.6
2025-06-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,2,1,1,0,112.73,19.5
2025-06-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,1,0,1,0,0.00,14.0
2025-06-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,10,4,6,0,2169.06,19.4
2025-06-01,D04,ECP,Essential Care Plan,State Health Fund,Accredited Partner,3,3,0,0,6934.37,24.3
2025-06-01,D04,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,4,2,2,0,287.17,13.0
2025-06-01,D04,ECP,Essential Care Plan,State Health Fund,Provider Facility,19,12,7,0,10760.02,14.9
2025-06-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,3,1,1,1,576.40,11.3
2025-06-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,14,6,8,0,1329.19,21.2
2025-06-01,D04,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,0,2,0,0.00,17.5
2025-06-01,D04,SAP,Senior Access Plan,National Senior Fund,Provider Facility,7,2,4,1,546.79,21.1
2025-06-01,D04,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,5,1,4,0,128.15,17.4
2025-06-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,1,1,0,0,865.48,19.0
2025-06-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,2,1,1,0,99.70,17.5
2025-06-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,8,5,3,0,7063.17,16.1
2025-06-01,D05,ECP,Essential Care Plan,State Health Fund,Accredited Partner,1,1,0,0,5749.77,9.0
2025-06-01,D05,ECP,Essential Care Plan,State Health Fund,Provider Facility,16,8,7,1,2248.96,19.2
2025-06-01,D05,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,4,2,2,0,354.99,16.5
2025-06-01,D05,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,0,2,0,0.00,15.0
2025-06-01,D05,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,2,2,0,0,1743.30,20.5
2025-06-01,D05,SAP,Senior Access Plan,National Senior Fund,Provider Facility,4,1,3,0,106.26,17.5
2025-06-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,1,0,1,0,0.00,5.0
2025-06-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,0,1,0,0.00,9.0
2025-06-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,8,4,4,0,7058.30,19.6
