week_start_date,district_id,district_name,district_population,eligible_population,appointments_booked,missed_appointments,doses_administered,completion_rate,immunization_no_show_rate,tests_reported,positive_tests,positivity_rate,respiratory_related_ed_visits,public_health_pressure_index
2025-01-06,D01,North Borough,184000,83064,2967,237,3023,0.0364,0.0799,1956,135,0.069,29,36.3
2025-01-06,D02,East River,221500,100922,3335,306,3332,0.033,0.0918,2061,158,0.0767,39,46.5
2025-01-06,D03,Central City,312800,138353,5325,438,5458,0.0394,0.0823,3767,258,0.0685,48,40.2
2025-01-06,D04,South Lakes,169400,71897,3151,235,3202,0.0445,0.0746,1666,120,0.072,30,34.5
2025-01-06,D05,West Hills,143700,66833,2597,190,2632,0.0394,0.0732,1443,59,0.0409,16,25.1
2025-01-13,D01,North Borough,184000,83711,3053,239,3109,0.0371,0.0783,2209,159,0.072,33,36.8
2025-01-13,D02,East River,221500,112634,4121,386,4171,0.037,0.0937,2727,243,0.0891,43,49.5
2025-01-13,D03,Central City,312800,150259,5781,541,5909,0.0393,0.0936,3244,245,0.0755,58,43.3
2025-01-13,D04,South Lakes,169400,82611,3610,271,3735,0.0452,0.0751,1858,120,0.0646,25,32.7
2025-01-13,D05,West Hills,143700,68064,2801,220,2881,0.0423,0.0785,1536,126,0.082,28,35.5
2025-01-20,D01,North Borough,184000,87551,3236,237,3355,0.0383,0.0732,2249,194,0.0863,45,39.6
2025-01-20,D02,East River,221500,105785,4247,393,4363,0.0412,0.0925,3467,265,0.0764,66,46.1
2025-01-20,D03,Central City,312800,130766,5293,427,5464,0.0418,0.0807,4271,455,0.1065,99,49.0
2025-01-20,D04,South Lakes,169400,76798,3061,238,3133,0.0408,0.0778,2072,183,0.0883,41,38.9
2025-01-20,D05,West Hills,143700,62670,2594,185,2691,0.0429,0.0713,1921,163,0.0849,35,35.3
2025-01-27,D01,North Borough,184000,88589,3757,297,3829,0.0432,0.0791,2684,235,0.0876,53,40.4
2025-01-27,D02,East River,221500,105841,4261,386,4396,0.0415,0.0906,3720,408,0.1097,91,53.9
2025-01-27,D03,Central City,312800,142627,6196,527,6294,0.0441,0.0851,5351,566,0.1058,113,49.3
2025-01-27,D04,South Lakes,169400,84464,3646,267,3759,0.0445,0.0732,2485,237,0.0954,47,39.9
2025-01-27,D05,West Hills,143700,66608,2950,222,2991,0.0449,0.0753,2299,206,0.0896,38,36.8
2025-02-03,D01,North Borough,184000,83464,3753,270,3966,0.0475,0.0719,3331,267,0.0802,59,37.6
2025-02-03,D02,East River,221500,104984,4020,347,4164,0.0397,0.0863,3735,408,0.1092,89,53.3
2025-02-03,D03,Central City,312800,137600,5154,446,5188,0.0377,0.0865,4414,466,0.1056,135,49.7
2025-02-03,D04,South Lakes,169400,82421,3679,286,3719,0.0451,0.0777,2802,236,0.0842,70,37.7
2025-02-03,D05,West Hills,143700,64810,3063,224,3190,0.0492,0.0731,2382,196,0.0823,49,34.6
2025-02-10,D01,North Borough,184000,83769,3892,310,4064,0.0485,0.0797,3491,383,0.1097,88,45.5
2025-02-10,D02,East River,221500,102102,4681,393,4762,0.0466,0.084,3298,307,0.0931,72,48.9
2025-02-10,D03,Central City,312800,138135,5564,436,5817,0.0421,0.0784,5646,577,0.1022,104,47.7
2025-02-10,D04,South Lakes,169400,77695,3761,263,3860,0.0497,0.0699,2435,233,0.0957,67,39.4
2025-02-10,D05,West Hills,143700,66735,3004,207,3136,0.047,0.0689,2300,201,0.0874,54,35.5
2025-02-17,D01,North Borough,184000,85401,3737,272,3814,0.0447,0.0728,2940,340,0.1156,96,46.3
2025-02-17,D02,East River,221500,112356,5028,409,5179,0.0461,0.0813,4329,444,0.1026,114,50.9
2025-02-17,D03,Central City,312800,138336,6233,514,6428,0.0465,0.0825,5361,502,0.0936,149,45.9
2025-02-17,D04,South Lakes,169400,84270,3645,264,3751,0.0445,0.0724,2886,272,0.0942,51,39.5
2025-02-17,D05,West Hills,143700,59514,2763,188,2809,0.0472,0.068,2771,276,0.0996,62,38.3
2025-02-24,D01,North Borough,184000,87431,4730,333,4884,0.0559,0.0704,3085,318,0.1031,61,42.5
2025-02-24,D02,East River,221500,106707,5488,439,5585,0.0523,0.08,4002,433,0.1082,126,51.8
2025-02-24,D03,Central City,312800,145862,7474,659,7741,0.0531,0.0882,5125,499,0.0974,117,47.2
2025-02-24,D04,South Lakes,169400,81322,4016,303,4158,0.0511,0.0754,2616,236,0.0902,43,38.6
2025-02-24,D05,West Hills,143700,67248,3038,226,3192,0.0475,0.0744,2691,262,0.0974,65,38.5
2025-03-03,D01,North Borough,184000,90032,4035,352,4158,0.0462,0.0872,3320,358,0.1078,85,46.1
2025-03-03,D02,East River,221500,108795,4681,413,4842,0.0445,0.0882,4073,410,0.1007,115,51.3
2025-03-03,D03,Central City,312800,150705,7637,591,7874,0.0522,0.0774,5126,488,0.0952,93,45.5
2025-03-03,D04,South Lakes,169400,73829,4140,304,4306,0.0583,0.0734,2454,233,0.0949,48,39.2
2025-03-03,D05,West Hills,143700,63173,3151,203,3367,0.0533,0.0644,2616,255,0.0975,51,37.1
2025-03-10,D01,North Borough,184000,80729,4475,356,4585,0.0568,0.0796,2607,216,0.0829,42,38.7
2025-03-10,D02,East River,221500,99269,4859,452,5023,0.0506,0.093,2947,268,0.0909,78,49.3
2025-03-10,D03,Central City,312800,140524,6626,559,6817,0.0485,0.0844,5040,468,0.0929,102,45.9
2025-03-10,D04,South Lakes,169400,75659,3634,266,3725,0.0492,0.0732,2292,229,0.0999,66,40.8
2025-03-10,D05,West Hills,143700,73218,3976,273,4124,0.0563,0.0687,2443,246,0.1007,58,38.2
2025-03-17,D01,North Borough,184000,88561,4570,379,4697,0.053,0.0829,2219,177,0.0798,38,38.6
2025-03-17,D02,East River,221500,103480,5179,486,5246,0.0507,0.0938,2538,215,0.0847,61,47.9
2025-03-17,D03,Central City,312800,145785,6943,522,7063,0.0484,0.0752,3967,367,0.0925,107,44.7
2025-03-17,D04,South Lakes,169400,69669,3933,301,4013,0.0576,0.0765,2282,161,0.0706,30,33.8
2025-03-17,D05,West Hills,143700,61747,3240,198,3378,0.0547,0.0611,2040,157,0.077,37,31.7
2025-03-24,D01,North Borough,184000,77562,4135,284,4296,0.0554,0.0687,2151,151,0.0702,29,34.4
2025-03-24,D02,East River,221500,109301,5416,492,5426,0.0496,0.0908,2304,205,0.089,45,48.6
2025-03-24,D03,Central City,312800,152937,8118,729,8198,0.0536,0.0898,3544,293,0.0827,73,43.9
2025-03-24,D04,South Lakes,169400,72314,3928,304,4025,0.0557,0.0774,2382,174,0.073,34,34.5
2025-03-24,D05,West Hills,143700,68777,3690,274,3801,0.0553,0.0743,1654,136,0.0822,26,34.5
2025-03-31,D01,North Borough,184000,85870,4817,379,4984,0.058,0.0787,2201,154,0.07,44,35.5
2025-03-31,D02,East River,221500,104698,5088,477,5211,0.0498,0.0938,2275,181,0.0796,46,46.7
2025-03-31,D03,Central City,312800,138656,6926,594,7016,0.0506,0.0858,3846,297,0.0772,59,42.2
2025-03-31,D04,South Lakes,169400,79299,4384,307,4557,0.0575,0.07,2106,155,0.0736,33,33.7
2025-03-31,D05,West Hills,143700,67424,3341,231,3436,0.051,0.0691,1591,91,0.0572,24,28.1
2025-04-07,D01,North Borough,184000,86200,4390,299,4539,0.0527,0.0681,1689,95,0.0562,19,31.1
2025-04-07,D02,East River,221500,104557,4615,396,4758,0.0455,0.0858,2254,198,0.0878,51,47.9
2025-04-07,D03,Central City,312800,146582,6566,553,6747,0.046,0.0842,2737,167,0.061,39,38.4
2025-04-07,D04,South Lakes,169400,85477,4361,320,4464,0.0522,0.0734,2012,142,0.0706,35,33.6
2025-04-07,D05,West Hills,143700,63555,3431,246,3568,0.0561,0.0717,1433,86,0.06,22,28.8
2025-04-14,D01,North Borough,184000,81394,4537,314,4676,0.0574,0.0692,1612,90,0.0558,19,31.0
2025-04-14,D02,East River,221500,98483,4141,378,4179,0.0424,0.0913,2399,144,0.06,38,42.0
2025-04-14,D03,Central City,312800,152111,6213,533,6439,0.0423,0.0858,3070,225,0.0733,46,41.7
2025-04-14,D04,South Lakes,169400,72687,3042,231,3152,0.0434,0.0759,1400,76,0.0543,15,30.4
2025-04-14,D05,West Hills,143700,63355,3372,239,3458,0.0546,0.0709,1234,63,0.0511,14,26.6
2025-04-21,D01,North Borough,184000,78916,3848,274,3925,0.0497,0.0712,2009,120,0.0597,23,32.5
2025-04-21,D02,East River,221500,95206,3880,367,3956,0.0416,0.0946,1868,140,0.0749,35,46.0
2025-04-21,D03,Central City,312800,133081,6458,554,6608,0.0497,0.0858,2920,161,0.0551,38,37.0
2025-04-21,D04,South Lakes,169400,76271,3123,220,3249,0.0426,0.0704,1463,106,0.0725,29,34.2
2025-04-21,D05,West Hills,143700,62283,2918,191,3075,0.0494,0.0655,1430,87,0.0608,17,28.5
2025-04-28,D01,North Borough,184000,81619,3480,269,3614,0.0443,0.0773,1851,100,0.054,23,32.1
2025-04-28,D02,East River,221500,104102,3991,357,4044,0.0388,0.0895,2268,124,0.0547,26,40.7
2025-04-28,D03,Central City,312800,146380,6382,588,6469,0.0442,0.0921,3301,188,0.057,40,38.4
2025-04-28,D04,South Lakes,169400,75596,3141,223,3308,0.0438,0.071,1307,92,0.0704,16,33.7
2025-04-28,D05,West Hills,143700,66591,2662,172,2736,0.0411,0.0646,1312,66,0.0503,14,26.3
2025-05-05,D01,North Borough,184000,79364,3559,265,3661,0.0461,0.0745,1645,81,0.0492,22,30.5
2025-05-05,D02,East River,221500,99719,3931,332,3989,0.04,0.0845,2049,169,0.0825,38,46.7
2025-05-05,D03,Central City,312800,120621,4688,425,4805,0.0398,0.0907,2755,173,0.0628,41,39.8
2025-05-05,D04,South Lakes,169400,76821,2773,186,2870,0.0374,0.0671,1763,86,0.0488,20,28.3
2025-05-05,D05,West Hills,143700,61563,2539,190,2612,0.0424,0.0748,1502,89,0.0593,25,29.6
2025-05-12,D01,North Borough,184000,81251,3428,260,3503,0.0431,0.0758,1798,118,0.0656,22,34.7
2025-05-12,D02,East River,221500,101782,3665,346,3794,0.0373,0.0944,1781,109,0.0612,23,42.9
2025-05-12,D03,Central City,312800,144916,5677,494,5676,0.0392,0.087,2629,152,0.0578,33,38.2
2025-05-12,D04,South Lakes,169400,75758,3248,229,3369,0.0445,0.0705,1544,82,0.0531,16,29.4
2025-05-12,D05,West Hills,143700,66176,2995,193,3105,0.0469,0.0644,1103,60,0.0544,14,27.0
2025-05-19,D01,North Borough,184000,84125,3744,298,3761,0.0447,0.0796,1438,78,0.0542,22,32.4
2025-05-19,D02,East River,221500,107410,3807,355,3861,0.0359,0.0932,1707,104,0.0609,27,42.7
2025-05-19,D03,Central City,312800,132619,4670,395,4729,0.0357,0.0846,2635,186,0.0706,37,41.2
2025-05-19,D04,South Lakes,169400,81114,3088,232,3162,0.039,0.0751,1239,71,0.0573,17,31.3
2025-05-19,D05,West Hills,143700,70044,3094,202,3288,0.0469,0.0653,1069,54,0.0505,15,26.2
2025-05-26,D01,North Borough,184000,83794,3297,250,3451,0.0412,0.0758,1370,75,0.0547,21,32.2
2025-05-26,D02,East River,221500,109472,3823,344,3860,0.0353,0.09,1774,132,0.0744,32,45.6
2025-05-26,D03,Central City,312800,148575,5224,453,5328,0.0359,0.0867,3002,213,0.071,40,41.5
2025-05-26,D04,South Lakes,169400,81265,3408,243,3483,0.0429,0.0713,1287,88,0.0684,20,33.3
2025-05-26,D05,West Hills,143700,64934,2579,176,2707,0.0417,0.0682,1250,78,0.0624,18,29.6
2025-06-02,D01,North Borough,184000,82143,3167,223,3284,0.04,0.0704,1779,86,0.0483,20,30.1
2025-06-02,D02,East River,221500,107552,4026,343,4096,0.0381,0.0852,2264,151,0.0667,45,43.1
2025-06-02,D03,Central City,312800,151815,4713,403,4857,0.032,0.0855,3217,204,0.0634,53,39.7
2025-06-02,D04,South Lakes,169400,70447,2661,179,2750,0.039,0.0673,1500,77,0.0513,16,28.9
2025-06-02,D05,West Hills,143700,64872,2270,156,2354,0.0363,0.0687,1362,95,0.0698,19,31.7
2025-06-09,D01,North Borough,184000,84703,3180,247,3232,0.0382,0.0777,1880,106,0.0564,23,33.0
2025-06-09,D02,East River,221500,104365,4010,336,4173,0.04,0.0838,2282,113,0.0495,22,38.7
2025-06-09,D03,Central City,312800,149435,4994,389,5144,0.0344,0.0779,2769,159,0.0574,47,37.3
2025-06-09,D04,South Lakes,169400,80999,3204,228,3367,0.0416,0.0712,1665,78,0.0468,18,28.1
2025-06-09,D05,West Hills,143700,72700,2822,214,2952,0.0406,0.0758,1152,64,0.0556,14,28.9
2025-06-16,D01,North Borough,184000,86254,2756,212,2888,0.0335,0.0769,1643,88,0.0536,17,32.4
2025-06-16,D02,East River,221500,90588,2909,235,2986,0.033,0.0808,2293,145,0.0632,40,41.9
2025-06-16,D03,Central City,312800,125659,3838,334,3908,0.0311,0.087,2961,164,0.0554,48,38.0
2025-06-16,D04,South Lakes,169400,80541,2698,204,2784,0.0346,0.0756,1352,78,0.0577,18,31.6
2025-06-16,D05,West Hills,143700,60665,2478,177,2597,0.0428,0.0714,1273,70,0.055,14,28.2
2025-06-23,D01,North Borough,184000,92926,3498,265,3608,0.0388,0.0758,1917,118,0.0616,29,34.0
2025-06-23,D02,East River,221500,95276,3489,318,3524,0.037,0.0911,2029,153,0.0754,30,45.9
2025-06-23,D03,Central City,312800,140882,5155,415,5281,0.0375,0.0805,2720,196,0.0721,49,41.0
2025-06-23,D04,South Lakes,169400,82341,3401,241,3495,0.0424,0.0709,1391,72,0.0518,19,29.3
2025-06-23,D05,West Hills,143700,59740,2085,140,2167,0.0363,0.0671,1233,60,0.0487,17,26.4
2025-06-30,D01,North Borough,184000,87543,3498,257,3599,0.0411,0.0735,1632,92,0.0564,21,32.3
2025-06-30,D02,East River,221500,100746,3332,284,3434,0.0341,0.0852,2149,123,0.0572,24,41.0
2025-06-30,D03,Central City,312800,155903,5106,463,5190,0.0333,0.0907,2616,134,0.0512,30,37.4
2025-06-30,D04,South Lakes,169400,77199,3028,240,3077,0.0399,0.0793,1349,92,0.0682,23,34.3
2025-06-30,D05,West Hills,143700,62887,2665,206,2689,0.0428,0.0773,1162,87,0.0749,25,33.6
